"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-04201","01","01-02","G208382E62627N",396647,624,"2010-09-12T00:00:00",-151.61184130955755,62.6290015,5,0.284125121871092,0,0,0,9,"",1,-151.62499861994303,62.62651807602389,1348.0804,1558.9832,1456.8649,1456.1798,18.174604,266.6510696411133,7,"COPDEM30",964
"RGI2000-v7.0-G-01-04202","01","01-02","G208404E62635N",396648,624,"2010-09-12T00:00:00",-151.5987806182511,62.632816000000005,5,0.338090871913439,0,0,0,9,"",1,-151.607872016107,62.63543071264842,1344.7863,1642.4546,1473.1539,1479.4501,19.714512,338.7229404449463,1,"COPDEM30",1022
"RGI2000-v7.0-G-01-04203","01","01-02","G208410E62638N",396652,624,"2010-09-12T00:00:00",-151.5912229080068,62.638285499999995,5,0.325927291032222,0,0,0,9,"",1,-151.59776731404912,62.639036022412036,1314.1481,1589.9901,1421.706,1426.1538,21.512234,309.1446418762207,8,"COPDEM30",750
"RGI2000-v7.0-G-01-04204","01","01-02","G208416E62643N",396654,624,"2010-09-12T00:00:00",-151.58558227835817,62.643300999999994,5,0.133915902208313,0,0,0,9,"",1,-151.587648940114,62.64586001803175,1394.2133,1698.2911,1525.6785,1537.264,22.01355,328.7025413513184,8,"COPDEM30",902
"RGI2000-v7.0-G-01-04205","01","01-02","G208422E62644N",396655,624,"2010-09-12T00:00:00",-151.57973057144687,62.64452,5,0.222713021056175,0,0,0,9,"",1,-151.58624574408523,62.6470958874174,1293.3169,1744.7858,1495.193,1509.7592,26.154316,317.5517272949219,8,"COPDEM30",1145
"RGI2000-v7.0-G-01-04206","01","01-02","G208430E62647N",396657,624,"2010-09-12T00:00:00",-151.57281908268058,62.647298,5,0.356105750992219,0,0,0,9,"",1,-151.57522251176388,62.65097343778209,1268.5745,1720.0005,1397.998,1433.9235,25.523132,324.89295196533203,8,"COPDEM30",1003
"RGI2000-v7.0-G-01-04207","01","01-02","G208446E62647N",396660,624,"2010-09-12T00:00:00",-151.55502783036692,62.647065,5,0.192439631825036,0,0,0,9,"",1,-151.55317276389675,62.65069134031327,1271.2902,1618.6853,1434.9199,1443.8596,24.91475,2.0922964,1,"COPDEM30",802
"RGI2000-v7.0-G-01-04208","01","01-02","G208461E62645N",396661,624,"2010-09-12T00:00:00",-151.552361417069,62.639072999999996,5,0.133312253693629,0,0,0,9,"",1,-151.5577998352403,62.63742053207745,1351.9049,1519.1401,1438.9105,1435.5074,15.285083,246.57208251953125,6,"COPDEM30",625
"RGI2000-v7.0-G-01-04209","01","01-02","G208463E62636N",396665,624,"2010-09-12T00:00:00",-151.53796375105136,62.636481,5,0.270262451920882,0,0,0,9,"",1,-151.5449546854872,62.63555761004353,1359.6846,1707.4967,1574.688,1557.706,23.183565,268.4514236450196,7,"COPDEM30",848
"RGI2000-v7.0-G-01-04210","01","01-02","G208501E62636N",396673,624,"2010-09-12T00:00:00",-151.52884498113207,62.6333575,5,0.039496027771032,0,0,0,9,"",1,-151.5272913649386,62.63177583444808,1506.5303,1644.2784,1573.6149,1574.1107,30.021385,116.34122,4,"COPDEM30",400
"RGI2000-v7.0-G-01-04211","01","01-02","G208468E62626N",396671,624,"2010-09-12T00:00:00",-151.52977781490682,62.627372,5,0.30043724583456,0,0,0,9,"",1,-151.52651716468466,62.62547818555425,1308.6906,1703.0815,1470.6248,1468.5132,29.47486,83.61003,3,"COPDEM30",760
